model,domain,no_context,original_context,knowledge_unit
Gemini 1.5 Flash 002,physics,49.48,90.72,83.51
Gemini 1.5 Flash 002,medical,46.96,94.13,81.76
Qwen 2.5 7B,physics,52.23,89.69,79.04
Qwen 2.5 7B,medical,50.45,93.24,88.29
Mistral Small 22B,physics,50.86,89.35,81.44
Mistral Small 22B,medical,48.31,94.59,90.20
