domain,judge_elapsed_seconds,knowledge_units_ci_high,knowledge_units_ci_low,knowledge_units_invalid,knowledge_units_percent,model,no_context_ci_high,no_context_ci_low,no_context_invalid,no_context_percent,original_ci_high,original_ci_low,original_invalid,original_percent,papers,questions
physics,987.0042996406555,82.16494845360825,76.70103092783506,1,79.48453608247422,4B,58.14432989690722,50.618556701030926,7,54.329896907216494,92.26804123711341,88.65979381443299,0,90.51546391752578,97,970
medical,859.3116357326508,86.16161616161617,80.60606060606061,0,83.50202429149797,4B,66.09311740890689,59.02636916835699,1,62.65182186234818,96.5587044534413,93.82591093117408,0,95.24291497975709,99,988
physics,1079.7577800750732,82.88659793814433,77.31958762886599,0,80.10309278350516,9B,58.35051546391753,50.618556701030926,8,54.43298969072165,91.75257731958763,88.14432989690721,0,90.0,97,970
medical,950.1387593746185,87.43667679837893,81.62436548223351,0,84.61538461538461,9B,65.45454545454545,58.54398382204246,1,62.044534412955464,96.35995955510617,93.62348178137651,0,95.04048582995951,99,988
physics,862.3327331542969,87.31958762886597,82.57731958762886,0,84.94845360824742,27B,58.55670103092784,51.03092783505154,4,54.74226804123712,91.75257731958763,88.24742268041237,0,90.0,97,970
medical,835.5185403823853,92.61133603238866,88.27098078867543,0,90.58704453441295,27B,65.75481256332321,58.620689655172406,1,62.24696356275303,96.45748987854252,93.52226720647774,0,95.04048582995951,99,988
physics,,2.88659793814433,-1.5463917525773196,,0.6316288659794042,9B-minus-4B-KU,,,,,,,,,97,970
medical,,3.4412955465587043,-1.214574898785425,,1.1204356524872645,9B-minus-4B-KU,,,,,,,,,99,988
